instance_id,n,lenw,algorithm,max_nodes,solved,visited_nodes,path_length,initial_total_length,max_intermediate_length,length_increase,wallclock_seconds
0,1,1,ppo_stochastic,200,False,200,,7,,,0.659875
2,1,2,ppo_stochastic,200,False,200,,8,,,0.516722
4,1,3,ppo_stochastic,200,False,200,,9,,,0.450579
6,1,4,ppo_stochastic,200,False,200,,10,,,0.473461
12,1,5,ppo_stochastic,200,False,200,,11,,,0.529686
22,1,5,ppo_stochastic,200,False,200,,11,,,0.383379
30,1,6,ppo_stochastic,200,False,200,,12,,,0.472184
40,1,6,ppo_stochastic,200,False,200,,12,,,0.401375
50,1,6,ppo_stochastic,200,False,200,,12,,,0.440953
60,1,6,ppo_stochastic,200,False,200,,12,,,0.385713
70,1,6,ppo_stochastic,200,False,200,,12,,,0.636589
72,1,7,ppo_stochastic,200,False,200,,13,,,0.455799
82,1,7,ppo_stochastic,200,False,200,,13,,,0.473976
92,1,7,ppo_stochastic,200,False,200,,13,,,0.439879
102,1,7,ppo_stochastic,200,False,200,,13,,,0.52515
112,1,7,ppo_stochastic,200,False,200,,13,,,0.47286
122,1,7,ppo_stochastic,200,False,200,,13,,,0.503758
132,1,7,ppo_stochastic,200,False,200,,13,,,0.436341
142,1,7,ppo_stochastic,200,False,200,,13,,,0.408419
152,1,7,ppo_stochastic,200,False,200,,13,,,0.415226
162,1,7,ppo_stochastic,200,False,200,,13,,,0.56806
170,2,1,ppo_stochastic,200,False,200,,9,,,0.469721
172,2,2,ppo_stochastic,200,False,200,,10,,,0.385403
174,2,3,ppo_stochastic,200,False,200,,11,,,0.43949
176,2,4,ppo_stochastic,200,False,200,,12,,,0.481643
182,2,5,ppo_stochastic,200,False,200,,13,,,0.452102
192,2,5,ppo_stochastic,200,False,200,,13,,,0.453548
200,2,6,ppo_stochastic,200,False,200,,14,,,0.717637
210,2,6,ppo_stochastic,200,False,200,,14,,,0.541703
220,2,6,ppo_stochastic,200,False,200,,14,,,0.483526
230,2,6,ppo_stochastic,200,True,21,21,14,14,0,0.043081
240,2,6,ppo_stochastic,200,False,200,,14,,,0.459438
242,2,7,ppo_stochastic,200,False,200,,15,,,0.474231
252,2,7,ppo_stochastic,200,False,200,,15,,,0.479909
262,2,7,ppo_stochastic,200,False,200,,15,,,0.623851
272,2,7,ppo_stochastic,200,False,200,,15,,,0.527854
282,2,7,ppo_stochastic,200,False,200,,15,,,0.520936
292,2,7,ppo_stochastic,200,False,200,,15,,,0.39957
302,2,7,ppo_stochastic,200,False,200,,15,,,0.459392
312,2,7,ppo_stochastic,200,False,200,,15,,,0.496001
322,2,7,ppo_stochastic,200,False,200,,15,,,0.491659
332,2,7,ppo_stochastic,200,False,200,,15,,,0.469231
340,3,1,ppo_stochastic,200,False,200,,11,,,0.543104
342,3,2,ppo_stochastic,200,False,200,,12,,,0.505629
344,3,3,ppo_stochastic,200,False,200,,13,,,0.445813
346,3,4,ppo_stochastic,200,False,200,,14,,,0.409967
352,3,5,ppo_stochastic,200,False,200,,15,,,0.377015
362,3,5,ppo_stochastic,200,False,200,,15,,,0.494486
370,3,6,ppo_stochastic,200,False,200,,16,,,0.393027
380,3,6,ppo_stochastic,200,False,200,,16,,,0.404409
390,3,6,ppo_stochastic,200,False,200,,16,,,0.364013
400,3,6,ppo_stochastic,200,False,200,,16,,,0.376224
410,3,6,ppo_stochastic,200,False,200,,16,,,0.491098
412,3,7,ppo_stochastic,200,False,200,,17,,,0.450674
422,3,7,ppo_stochastic,200,False,200,,17,,,0.41369
432,3,7,ppo_stochastic,200,False,200,,17,,,0.453865
442,3,7,ppo_stochastic,200,False,200,,17,,,0.418819
452,3,7,ppo_stochastic,200,False,200,,17,,,0.434312
462,3,7,ppo_stochastic,200,False,200,,17,,,0.462577
472,3,7,ppo_stochastic,200,False,200,,17,,,0.414279
482,3,7,ppo_stochastic,200,False,200,,17,,,0.435501
492,3,7,ppo_stochastic,200,False,200,,17,,,0.397896
502,3,7,ppo_stochastic,200,False,200,,17,,,0.422399
510,4,1,ppo_stochastic,200,False,200,,13,,,0.378738
512,4,2,ppo_stochastic,200,False,200,,14,,,0.436128
514,4,3,ppo_stochastic,200,False,200,,15,,,0.526439
516,4,4,ppo_stochastic,200,False,200,,16,,,0.956763
522,4,5,ppo_stochastic,200,False,200,,17,,,0.535902
532,4,5,ppo_stochastic,200,False,200,,17,,,0.47895
540,4,6,ppo_stochastic,200,False,200,,18,,,0.413925
550,4,6,ppo_stochastic,200,False,200,,18,,,0.425026
560,4,6,ppo_stochastic,200,False,200,,18,,,0.508239
570,4,6,ppo_stochastic,200,False,200,,18,,,0.604318
580,4,6,ppo_stochastic,200,False,200,,18,,,0.386102
582,4,7,ppo_stochastic,200,False,200,,19,,,0.438131
592,4,7,ppo_stochastic,200,False,200,,19,,,0.386089
602,4,7,ppo_stochastic,200,False,200,,19,,,0.482318
612,4,7,ppo_stochastic,200,False,200,,19,,,0.483006
622,4,7,ppo_stochastic,200,False,200,,19,,,0.412741
632,4,7,ppo_stochastic,200,False,200,,19,,,0.413415
642,4,7,ppo_stochastic,200,False,200,,19,,,0.517075
652,4,7,ppo_stochastic,200,False,200,,19,,,0.436968
662,4,7,ppo_stochastic,200,False,200,,19,,,0.561832
672,4,7,ppo_stochastic,200,False,200,,19,,,0.441173
680,5,1,ppo_stochastic,200,False,200,,15,,,0.397875
682,5,2,ppo_stochastic,200,False,200,,16,,,0.454393
684,5,3,ppo_stochastic,200,False,200,,17,,,0.39024
686,5,4,ppo_stochastic,200,False,200,,18,,,0.435067
692,5,5,ppo_stochastic,200,False,200,,19,,,0.416969
702,5,5,ppo_stochastic,200,False,200,,19,,,0.45029
710,5,6,ppo_stochastic,200,False,200,,20,,,0.447839
720,5,6,ppo_stochastic,200,False,200,,20,,,0.501186
730,5,6,ppo_stochastic,200,False,200,,20,,,0.502841
740,5,6,ppo_stochastic,200,False,200,,20,,,0.480686
750,5,6,ppo_stochastic,200,False,200,,20,,,0.457078
752,5,7,ppo_stochastic,200,False,200,,21,,,0.482352
762,5,7,ppo_stochastic,200,False,200,,21,,,0.398761
772,5,7,ppo_stochastic,200,False,200,,21,,,0.429941
782,5,7,ppo_stochastic,200,False,200,,21,,,0.420043
792,5,7,ppo_stochastic,200,False,200,,21,,,1.013172
802,5,7,ppo_stochastic,200,False,200,,21,,,0.474334
812,5,7,ppo_stochastic,200,False,200,,21,,,0.668387
822,5,7,ppo_stochastic,200,False,200,,21,,,0.47738
832,5,7,ppo_stochastic,200,False,200,,21,,,0.563813
842,5,7,ppo_stochastic,200,False,200,,21,,,0.410736
850,6,1,ppo_stochastic,200,False,200,,17,,,0.440245
852,6,2,ppo_stochastic,200,False,200,,18,,,0.6723
854,6,3,ppo_stochastic,200,False,200,,19,,,0.61204
856,6,4,ppo_stochastic,200,False,200,,20,,,0.411724
862,6,5,ppo_stochastic,200,False,200,,21,,,0.485822
872,6,5,ppo_stochastic,200,False,200,,21,,,0.516085
880,6,6,ppo_stochastic,200,False,200,,22,,,0.496101
890,6,6,ppo_stochastic,200,False,200,,22,,,0.449154
900,6,6,ppo_stochastic,200,False,200,,22,,,0.459755
910,6,6,ppo_stochastic,200,False,200,,22,,,0.595055
920,6,6,ppo_stochastic,200,False,200,,22,,,0.459163
922,6,7,ppo_stochastic,200,False,200,,23,,,0.504594
932,6,7,ppo_stochastic,200,False,200,,23,,,0.613921
942,6,7,ppo_stochastic,200,False,200,,23,,,0.467787
952,6,7,ppo_stochastic,200,False,200,,23,,,0.44939
962,6,7,ppo_stochastic,200,False,200,,23,,,0.448166
972,6,7,ppo_stochastic,200,False,200,,23,,,0.617855
982,6,7,ppo_stochastic,200,False,200,,23,,,0.43393
992,6,7,ppo_stochastic,200,False,200,,23,,,0.396295
1002,6,7,ppo_stochastic,200,False,200,,23,,,0.473343
1012,6,7,ppo_stochastic,200,False,200,,23,,,0.451444
1020,7,1,ppo_stochastic,200,False,200,,19,,,0.49197
1022,7,2,ppo_stochastic,200,False,200,,20,,,0.459263
1024,7,3,ppo_stochastic,200,False,200,,21,,,0.424982
1026,7,4,ppo_stochastic,200,False,200,,22,,,0.415194
1032,7,5,ppo_stochastic,200,False,200,,23,,,0.523411
1042,7,5,ppo_stochastic,200,False,200,,23,,,0.811006
1050,7,6,ppo_stochastic,200,False,200,,24,,,0.485601
1060,7,6,ppo_stochastic,200,False,200,,24,,,0.462788
1070,7,6,ppo_stochastic,200,False,200,,24,,,0.44974
1080,7,6,ppo_stochastic,200,False,200,,24,,,0.454091
1090,7,6,ppo_stochastic,200,False,200,,24,,,0.452047
1092,7,7,ppo_stochastic,200,False,200,,25,,,0.407931
1102,7,7,ppo_stochastic,200,False,200,,25,,,0.459344
1112,7,7,ppo_stochastic,200,False,200,,25,,,0.449237
1122,7,7,ppo_stochastic,200,False,200,,25,,,0.390666
1132,7,7,ppo_stochastic,200,False,200,,25,,,0.49448
1142,7,7,ppo_stochastic,200,False,200,,25,,,0.457379
1152,7,7,ppo_stochastic,200,False,200,,25,,,0.531075
1162,7,7,ppo_stochastic,200,False,200,,25,,,0.508182
1172,7,7,ppo_stochastic,200,False,200,,25,,,0.505769
1182,7,7,ppo_stochastic,200,False,200,,25,,,0.395546
