instance_id,n,lenw,algorithm,max_nodes,solved,visited_nodes,path_length,initial_total_length,max_intermediate_length,length_increase,wallclock_seconds
0,1,1,ppo,200,False,200,,7,,,0.239468
2,1,2,ppo,200,False,200,,8,,,0.141729
4,1,3,ppo,200,False,200,,9,,,0.278483
6,1,4,ppo,200,False,200,,10,,,0.166026
12,1,5,ppo,200,False,200,,11,,,0.138141
22,1,5,ppo,200,False,200,,11,,,0.13372
30,1,6,ppo,200,False,200,,12,,,0.162895
40,1,6,ppo,200,False,200,,12,,,0.152418
50,1,6,ppo,200,False,200,,12,,,0.122692
60,1,6,ppo,200,False,200,,12,,,0.121303
70,1,6,ppo,200,False,200,,12,,,0.235711
72,1,7,ppo,200,False,200,,13,,,0.142437
82,1,7,ppo,200,False,200,,13,,,0.147041
92,1,7,ppo,200,False,200,,13,,,0.154154
102,1,7,ppo,200,False,200,,13,,,0.117393
112,1,7,ppo,200,False,200,,13,,,0.123586
122,1,7,ppo,200,False,200,,13,,,0.119991
132,1,7,ppo,200,False,200,,13,,,0.119621
142,1,7,ppo,200,False,200,,13,,,0.118899
152,1,7,ppo,200,False,200,,13,,,0.113436
162,1,7,ppo,200,False,200,,13,,,0.121104
170,2,1,ppo,200,False,200,,9,,,0.131403
172,2,2,ppo,200,False,200,,10,,,0.124095
174,2,3,ppo,200,False,200,,11,,,0.12846
176,2,4,ppo,200,False,200,,12,,,0.127826
182,2,5,ppo,200,False,200,,13,,,0.142858
192,2,5,ppo,200,False,200,,13,,,0.127016
200,2,6,ppo,200,False,200,,14,,,0.111681
210,2,6,ppo,200,False,200,,14,,,0.114267
220,2,6,ppo,200,False,200,,14,,,0.119057
230,2,6,ppo,200,False,200,,14,,,0.11806
240,2,6,ppo,200,False,200,,14,,,0.117374
242,2,7,ppo,200,False,200,,15,,,0.117336
252,2,7,ppo,200,False,200,,15,,,0.11856
262,2,7,ppo,200,False,200,,15,,,0.115419
272,2,7,ppo,200,False,200,,15,,,0.112482
282,2,7,ppo,200,False,200,,15,,,0.112718
292,2,7,ppo,200,False,200,,15,,,0.113223
302,2,7,ppo,200,False,200,,15,,,0.120804
312,2,7,ppo,200,False,200,,15,,,0.114081
322,2,7,ppo,200,False,200,,15,,,0.111756
332,2,7,ppo,200,False,200,,15,,,0.127615
340,3,1,ppo,200,False,200,,11,,,0.128787
342,3,2,ppo,200,False,200,,12,,,0.147263
344,3,3,ppo,200,False,200,,13,,,0.134523
346,3,4,ppo,200,False,200,,14,,,0.133963
352,3,5,ppo,200,False,200,,15,,,0.135721
362,3,5,ppo,200,False,200,,15,,,0.11888
370,3,6,ppo,200,False,200,,16,,,0.127559
380,3,6,ppo,200,False,200,,16,,,0.133499
390,3,6,ppo,200,False,200,,16,,,0.129781
400,3,6,ppo,200,False,200,,16,,,0.121388
410,3,6,ppo,200,False,200,,16,,,0.108609
412,3,7,ppo,200,False,200,,17,,,0.124746
422,3,7,ppo,200,False,200,,17,,,0.110372
432,3,7,ppo,200,False,200,,17,,,0.11716
442,3,7,ppo,200,False,200,,17,,,0.111257
452,3,7,ppo,200,False,200,,17,,,0.110619
462,3,7,ppo,200,False,200,,17,,,0.127851
472,3,7,ppo,200,False,200,,17,,,0.109777
482,3,7,ppo,200,False,200,,17,,,0.109901
492,3,7,ppo,200,False,200,,17,,,0.108861
502,3,7,ppo,200,False,200,,17,,,0.110584
510,4,1,ppo,200,False,200,,13,,,0.109373
512,4,2,ppo,200,False,200,,14,,,0.112524
514,4,3,ppo,200,False,200,,15,,,0.103187
516,4,4,ppo,200,False,200,,16,,,0.125419
522,4,5,ppo,200,False,200,,17,,,0.117821
532,4,5,ppo,200,False,200,,17,,,0.11054
540,4,6,ppo,200,False,200,,18,,,0.107375
550,4,6,ppo,200,False,200,,18,,,0.109921
560,4,6,ppo,200,False,200,,18,,,0.113074
570,4,6,ppo,200,False,200,,18,,,0.112598
580,4,6,ppo,200,False,200,,18,,,0.113927
582,4,7,ppo,200,False,200,,19,,,0.11049
592,4,7,ppo,200,False,200,,19,,,0.108863
602,4,7,ppo,200,False,200,,19,,,0.105504
612,4,7,ppo,200,False,200,,19,,,0.111568
622,4,7,ppo,200,False,200,,19,,,0.122442
632,4,7,ppo,200,False,200,,19,,,0.118186
642,4,7,ppo,200,False,200,,19,,,0.114105
652,4,7,ppo,200,False,200,,19,,,0.11142
662,4,7,ppo,200,False,200,,19,,,0.109226
672,4,7,ppo,200,False,200,,19,,,0.109746
680,5,1,ppo,200,False,200,,15,,,0.111039
682,5,2,ppo,200,False,200,,16,,,0.112005
684,5,3,ppo,200,False,200,,17,,,0.109531
686,5,4,ppo,200,False,200,,18,,,0.105652
692,5,5,ppo,200,False,200,,19,,,0.122399
702,5,5,ppo,200,False,200,,19,,,0.11155
710,5,6,ppo,200,False,200,,20,,,0.109079
720,5,6,ppo,200,False,200,,20,,,0.113476
730,5,6,ppo,200,False,200,,20,,,0.126873
740,5,6,ppo,200,False,200,,20,,,0.127514
750,5,6,ppo,200,False,200,,20,,,0.110514
752,5,7,ppo,200,False,200,,21,,,0.125543
762,5,7,ppo,200,False,200,,21,,,0.198967
772,5,7,ppo,200,False,200,,21,,,0.157331
782,5,7,ppo,200,False,200,,21,,,0.150375
792,5,7,ppo,200,False,200,,21,,,0.128751
802,5,7,ppo,200,False,200,,21,,,0.126911
812,5,7,ppo,200,False,200,,21,,,0.12803
822,5,7,ppo,200,False,200,,21,,,0.12055
832,5,7,ppo,200,False,200,,21,,,0.115092
842,5,7,ppo,200,False,200,,21,,,0.113761
850,6,1,ppo,200,False,200,,17,,,0.110878
852,6,2,ppo,200,False,200,,18,,,0.111004
854,6,3,ppo,200,False,200,,19,,,0.115873
856,6,4,ppo,200,False,200,,20,,,0.129472
862,6,5,ppo,200,False,200,,21,,,0.167858
872,6,5,ppo,200,False,200,,21,,,0.147164
880,6,6,ppo,200,False,200,,22,,,0.141789
890,6,6,ppo,200,False,200,,22,,,0.146143
900,6,6,ppo,200,False,200,,22,,,0.127407
910,6,6,ppo,200,False,200,,22,,,0.121298
920,6,6,ppo,200,False,200,,22,,,0.120759
922,6,7,ppo,200,False,200,,23,,,0.119884
932,6,7,ppo,200,False,200,,23,,,0.123413
942,6,7,ppo,200,False,200,,23,,,0.111777
952,6,7,ppo,200,False,200,,23,,,0.110462
962,6,7,ppo,200,False,200,,23,,,0.112078
972,6,7,ppo,200,False,200,,23,,,0.118433
982,6,7,ppo,200,False,200,,23,,,0.112275
992,6,7,ppo,200,False,200,,23,,,0.108357
1002,6,7,ppo,200,False,200,,23,,,0.132427
1012,6,7,ppo,200,False,200,,23,,,0.121443
1020,7,1,ppo,200,False,200,,19,,,0.114995
1022,7,2,ppo,200,False,200,,20,,,0.118388
1024,7,3,ppo,200,False,200,,21,,,0.12286
1026,7,4,ppo,200,False,200,,22,,,0.122051
1032,7,5,ppo,200,False,200,,23,,,0.117788
1042,7,5,ppo,200,False,200,,23,,,0.112873
1050,7,6,ppo,200,False,200,,24,,,0.110684
1060,7,6,ppo,200,False,200,,24,,,0.109849
1070,7,6,ppo,200,False,200,,24,,,0.144799
1080,7,6,ppo,200,False,200,,24,,,0.115471
1090,7,6,ppo,200,False,200,,24,,,0.112741
1092,7,7,ppo,200,False,200,,25,,,0.121101
1102,7,7,ppo,200,False,200,,25,,,0.113469
1112,7,7,ppo,200,False,200,,25,,,0.109829
1122,7,7,ppo,200,False,200,,25,,,0.110467
1132,7,7,ppo,200,False,200,,25,,,0.121299
1142,7,7,ppo,200,False,200,,25,,,0.131033
1152,7,7,ppo,200,False,200,,25,,,0.126945
1162,7,7,ppo,200,False,200,,25,,,0.125122
1172,7,7,ppo,200,False,200,,25,,,0.117618
1182,7,7,ppo,200,False,200,,25,,,0.112167
