instance_id,n,lenw,algorithm,max_nodes,solved,visited_nodes,path_length,initial_total_length,max_intermediate_length,length_increase,wallclock_seconds
0,1,1,ppo,200,False,200,,7,,,0.251575
2,1,2,ppo,200,False,200,,8,,,0.118953
4,1,3,ppo,200,False,200,,9,,,0.104633
6,1,4,ppo,200,False,200,,10,,,0.11662
12,1,5,ppo,200,False,200,,11,,,0.12657
22,1,5,ppo,200,False,200,,11,,,0.101688
30,1,6,ppo,200,False,200,,12,,,0.110701
40,1,6,ppo,200,False,200,,12,,,0.10922
50,1,6,ppo,200,False,200,,12,,,0.112964
60,1,6,ppo,200,False,200,,12,,,0.125076
70,1,6,ppo,200,False,200,,12,,,0.109901
72,1,7,ppo,200,False,200,,13,,,0.111085
82,1,7,ppo,200,False,200,,13,,,0.112288
92,1,7,ppo,200,False,200,,13,,,0.121709
102,1,7,ppo,200,False,200,,13,,,0.110856
112,1,7,ppo,200,False,200,,13,,,0.110013
122,1,7,ppo,200,False,200,,13,,,0.110389
132,1,7,ppo,200,False,200,,13,,,0.107878
142,1,7,ppo,200,False,200,,13,,,0.109735
152,1,7,ppo,200,False,200,,13,,,0.106621
162,1,7,ppo,200,False,200,,13,,,0.118165
170,2,1,ppo,200,False,200,,9,,,0.131765
172,2,2,ppo,200,False,200,,10,,,0.125856
174,2,3,ppo,200,False,200,,11,,,0.127392
176,2,4,ppo,200,False,200,,12,,,0.124224
182,2,5,ppo,200,False,200,,13,,,0.120135
192,2,5,ppo,200,False,200,,13,,,0.110521
200,2,6,ppo,200,False,200,,14,,,0.111791
210,2,6,ppo,200,False,200,,14,,,0.101097
220,2,6,ppo,200,False,200,,14,,,0.102109
230,2,6,ppo,200,False,200,,14,,,0.098565
240,2,6,ppo,200,False,200,,14,,,0.101404
242,2,7,ppo,200,False,200,,15,,,0.108886
252,2,7,ppo,200,False,200,,15,,,0.110729
262,2,7,ppo,200,False,200,,15,,,0.110697
272,2,7,ppo,200,False,200,,15,,,0.110314
282,2,7,ppo,200,False,200,,15,,,0.108088
292,2,7,ppo,200,False,200,,15,,,0.108021
302,2,7,ppo,200,False,200,,15,,,0.10966
312,2,7,ppo,200,False,200,,15,,,0.108197
322,2,7,ppo,200,False,200,,15,,,0.109437
332,2,7,ppo,200,False,200,,15,,,0.105641
340,3,1,ppo,200,False,200,,11,,,0.110384
342,3,2,ppo,200,False,200,,12,,,0.110091
344,3,3,ppo,200,False,200,,13,,,0.108818
346,3,4,ppo,200,False,200,,14,,,0.113412
352,3,5,ppo,200,False,200,,15,,,0.109337
362,3,5,ppo,200,False,200,,15,,,0.110077
370,3,6,ppo,200,False,200,,16,,,0.109207
380,3,6,ppo,200,False,200,,16,,,0.109675
390,3,6,ppo,200,False,200,,16,,,0.109242
400,3,6,ppo,200,False,200,,16,,,0.109569
410,3,6,ppo,200,False,200,,16,,,0.109908
412,3,7,ppo,200,False,200,,17,,,0.109671
422,3,7,ppo,200,False,200,,17,,,0.109459
432,3,7,ppo,200,False,200,,17,,,0.10976
442,3,7,ppo,200,False,200,,17,,,0.104513
452,3,7,ppo,200,False,200,,17,,,0.10123
462,3,7,ppo,200,False,200,,17,,,0.109793
472,3,7,ppo,200,False,200,,17,,,0.109838
482,3,7,ppo,200,False,200,,17,,,0.110117
492,3,7,ppo,200,False,200,,17,,,0.109941
502,3,7,ppo,200,False,200,,17,,,0.11024
510,4,1,ppo,200,False,200,,13,,,0.11009
512,4,2,ppo,200,False,200,,14,,,0.110122
514,4,3,ppo,200,False,200,,15,,,0.109657
516,4,4,ppo,200,False,200,,16,,,0.109377
522,4,5,ppo,200,False,200,,17,,,0.111862
532,4,5,ppo,200,False,200,,17,,,0.115326
540,4,6,ppo,200,False,200,,18,,,0.113925
550,4,6,ppo,200,False,200,,18,,,0.112254
560,4,6,ppo,200,False,200,,18,,,0.110748
570,4,6,ppo,200,False,200,,18,,,0.112084
580,4,6,ppo,200,False,200,,18,,,0.100828
582,4,7,ppo,200,False,200,,19,,,0.111653
592,4,7,ppo,200,False,200,,19,,,0.106773
602,4,7,ppo,200,False,200,,19,,,0.109302
612,4,7,ppo,200,False,200,,19,,,0.110833
622,4,7,ppo,200,False,200,,19,,,0.112257
632,4,7,ppo,200,False,200,,19,,,0.110355
642,4,7,ppo,200,False,200,,19,,,0.107115
652,4,7,ppo,200,False,200,,19,,,0.113889
662,4,7,ppo,200,False,200,,19,,,0.113217
672,4,7,ppo,200,False,200,,19,,,0.102941
680,5,1,ppo,200,False,200,,15,,,0.101778
682,5,2,ppo,200,False,200,,16,,,0.106038
684,5,3,ppo,200,False,200,,17,,,0.108339
686,5,4,ppo,200,False,200,,18,,,0.111863
692,5,5,ppo,200,False,200,,19,,,0.110849
702,5,5,ppo,200,False,200,,19,,,0.110268
710,5,6,ppo,200,False,200,,20,,,0.105938
720,5,6,ppo,200,False,200,,20,,,0.106505
730,5,6,ppo,200,False,200,,20,,,0.106449
740,5,6,ppo,200,False,200,,20,,,0.111553
750,5,6,ppo,200,False,200,,20,,,0.111099
752,5,7,ppo,200,False,200,,21,,,0.110259
762,5,7,ppo,200,False,200,,21,,,0.104753
772,5,7,ppo,200,False,200,,21,,,0.111452
782,5,7,ppo,200,False,200,,21,,,0.112019
792,5,7,ppo,200,False,200,,21,,,0.112823
802,5,7,ppo,200,False,200,,21,,,0.111564
812,5,7,ppo,200,False,200,,21,,,0.135307
822,5,7,ppo,200,False,200,,21,,,0.111602
832,5,7,ppo,200,False,200,,21,,,0.110005
842,5,7,ppo,200,False,200,,21,,,0.106905
850,6,1,ppo,200,False,200,,17,,,0.105117
852,6,2,ppo,200,False,200,,18,,,0.107145
854,6,3,ppo,200,False,200,,19,,,0.11001
856,6,4,ppo,200,False,200,,20,,,0.112162
862,6,5,ppo,200,False,200,,21,,,0.13051
872,6,5,ppo,200,False,200,,21,,,0.113722
880,6,6,ppo,200,False,200,,22,,,0.101415
890,6,6,ppo,200,False,200,,22,,,0.093044
900,6,6,ppo,200,False,200,,22,,,0.10004
910,6,6,ppo,200,False,200,,22,,,0.10239
920,6,6,ppo,200,False,200,,22,,,0.107965
922,6,7,ppo,200,False,200,,23,,,0.110787
932,6,7,ppo,200,False,200,,23,,,0.111897
942,6,7,ppo,200,False,200,,23,,,0.113333
952,6,7,ppo,200,False,200,,23,,,0.102379
962,6,7,ppo,200,False,200,,23,,,0.104748
972,6,7,ppo,200,False,200,,23,,,0.109137
982,6,7,ppo,200,False,200,,23,,,0.113484
992,6,7,ppo,200,False,200,,23,,,0.111566
1002,6,7,ppo,200,False,200,,23,,,0.111951
1012,6,7,ppo,200,False,200,,23,,,0.112656
1020,7,1,ppo,200,False,200,,19,,,0.171101
1022,7,2,ppo,200,False,200,,20,,,0.128494
1024,7,3,ppo,200,False,200,,21,,,0.132453
1026,7,4,ppo,200,False,200,,22,,,0.125323
1032,7,5,ppo,200,False,200,,23,,,0.109042
1042,7,5,ppo,200,False,200,,23,,,0.109084
1050,7,6,ppo,200,False,200,,24,,,0.109771
1060,7,6,ppo,200,False,200,,24,,,0.111267
1070,7,6,ppo,200,False,200,,24,,,0.127178
1080,7,6,ppo,200,False,200,,24,,,0.112994
1090,7,6,ppo,200,False,200,,24,,,0.103847
1092,7,7,ppo,200,False,200,,25,,,0.101636
1102,7,7,ppo,200,False,200,,25,,,0.103394
1112,7,7,ppo,200,False,200,,25,,,0.113797
1122,7,7,ppo,200,False,200,,25,,,0.109817
1132,7,7,ppo,200,False,200,,25,,,0.110285
1142,7,7,ppo,200,False,200,,25,,,0.109956
1152,7,7,ppo,200,False,200,,25,,,0.110778
1162,7,7,ppo,200,False,200,,25,,,0.110652
1172,7,7,ppo,200,False,200,,25,,,0.110196
1182,7,7,ppo,200,False,200,,25,,,0.110787
