instance_id,n,lenw,algorithm,max_nodes,solved,visited_nodes,path_length,initial_total_length,max_intermediate_length,length_increase,wallclock_seconds
0,1,1,ppo_stochastic,200,True,161,161,7,7,0,0.312544
2,1,2,ppo_stochastic,200,True,125,125,8,8,0,0.248837
4,1,3,ppo_stochastic,200,False,200,,9,,,0.407912
6,1,4,ppo_stochastic,200,False,200,,10,,,0.427321
12,1,5,ppo_stochastic,200,False,200,,11,,,0.3915
22,1,5,ppo_stochastic,200,False,200,,11,,,0.409468
30,1,6,ppo_stochastic,200,False,200,,12,,,0.445237
40,1,6,ppo_stochastic,200,False,200,,12,,,0.393148
50,1,6,ppo_stochastic,200,True,11,11,12,15,3,0.021323
60,1,6,ppo_stochastic,200,False,200,,12,,,0.616082
70,1,6,ppo_stochastic,200,False,200,,12,,,0.403537
72,1,7,ppo_stochastic,200,False,200,,13,,,0.38128
82,1,7,ppo_stochastic,200,False,200,,13,,,0.398071
92,1,7,ppo_stochastic,200,False,200,,13,,,0.45671
102,1,7,ppo_stochastic,200,False,200,,13,,,0.393167
112,1,7,ppo_stochastic,200,False,200,,13,,,0.412462
122,1,7,ppo_stochastic,200,False,200,,13,,,0.411736
132,1,7,ppo_stochastic,200,False,200,,13,,,0.553251
142,1,7,ppo_stochastic,200,False,200,,13,,,0.387297
152,1,7,ppo_stochastic,200,False,200,,13,,,0.394179
162,1,7,ppo_stochastic,200,False,200,,13,,,0.401463
170,2,1,ppo_stochastic,200,False,200,,9,,,0.379075
172,2,2,ppo_stochastic,200,False,200,,10,,,0.4004
174,2,3,ppo_stochastic,200,True,142,142,11,15,4,0.266845
176,2,4,ppo_stochastic,200,False,200,,12,,,0.38437
182,2,5,ppo_stochastic,200,False,200,,13,,,0.364313
192,2,5,ppo_stochastic,200,False,200,,13,,,0.380464
200,2,6,ppo_stochastic,200,False,200,,14,,,0.386034
210,2,6,ppo_stochastic,200,False,200,,14,,,0.397775
220,2,6,ppo_stochastic,200,False,200,,14,,,0.370546
230,2,6,ppo_stochastic,200,False,200,,14,,,0.384764
240,2,6,ppo_stochastic,200,False,200,,14,,,0.396802
242,2,7,ppo_stochastic,200,False,200,,15,,,0.372054
252,2,7,ppo_stochastic,200,False,200,,15,,,0.379232
262,2,7,ppo_stochastic,200,False,200,,15,,,0.384486
272,2,7,ppo_stochastic,200,False,200,,15,,,0.374163
282,2,7,ppo_stochastic,200,False,200,,15,,,0.381084
292,2,7,ppo_stochastic,200,False,200,,15,,,0.387432
302,2,7,ppo_stochastic,200,False,200,,15,,,0.382479
312,2,7,ppo_stochastic,200,False,200,,15,,,0.389204
322,2,7,ppo_stochastic,200,False,200,,15,,,0.363515
332,2,7,ppo_stochastic,200,False,200,,15,,,0.381453
340,3,1,ppo_stochastic,200,False,200,,11,,,0.394399
342,3,2,ppo_stochastic,200,False,200,,12,,,0.37739
344,3,3,ppo_stochastic,200,False,200,,13,,,0.380352
346,3,4,ppo_stochastic,200,False,200,,14,,,0.445506
352,3,5,ppo_stochastic,200,False,200,,15,,,0.423118
362,3,5,ppo_stochastic,200,False,200,,15,,,0.631046
370,3,6,ppo_stochastic,200,False,200,,16,,,0.624933
380,3,6,ppo_stochastic,200,False,200,,16,,,0.425706
390,3,6,ppo_stochastic,200,False,200,,16,,,0.411214
400,3,6,ppo_stochastic,200,False,200,,16,,,0.40724
410,3,6,ppo_stochastic,200,False,200,,16,,,0.386394
